K,NDCG@10,NDCG@20,NDCG@50,RECALL@10,RECALL@20,RECALL@50,MAP@10,MAP@20,MAP@50,RMSE,Accuracy
10,0.19442592090556896,0.3262158192607555,0.33756126011871923,0.42038216560509556,0.9490445859872612,1.0,0.1269512688302497,0.16219804830411994,0.164569350038479,0.8743382107680011,0.8535031847133758
20,0.18092260199383098,0.3126403038997948,0.32684235398346023,0.40764331210191085,0.9363057324840764,1.0,0.11323172581134364,0.14842709741622206,0.15140501122216132,0.8745908878917654,0.8471337579617835
50,0.1766364740398343,0.31149967382334603,0.3271300285198622,0.3885350318471338,0.9299363057324841,1.0,0.11306490749165907,0.14907820376333125,0.15235942360506063,0.8746616146873263,0.8407643312101911
100,0.17560733153220387,0.31223057953617206,0.3264326296198375,0.3885350318471338,0.9363057324840764,1.0,0.1117910221413406,0.1483789711654475,0.15135688497138675,0.8745083916887526,0.8471337579617835
