K,NDCG@10,NDCG@20,NDCG@50,RECALL@10,RECALL@20,RECALL@50,MAP@10,MAP@20,MAP@50,RMSE,Accuracy
10,0.18018528242897128,0.25821502565222515,0.32694200966639203,0.3684210526315789,0.6820175438596491,1.0,0.12282616262879421,0.14355852708824438,0.156982291485979,0.8419483757158469,0.8135964912280702
20,0.1747998903646969,0.2555121750161191,0.3228053669003771,0.36403508771929827,0.6885964912280702,1.0,0.11697907964355332,0.13839880270801322,0.1515374427145022,0.8418583557968251,0.8135964912280702
50,0.1816635654836117,0.26017905295468996,0.32841241995809345,0.3684210526315789,0.6842105263157895,1.0,0.12452050264550264,0.14535890965488082,0.15867778958417264,0.8420971677898198,0.8135964912280702
100,0.1754628831964307,0.25407734704985063,0.32420131443239664,0.35964912280701755,0.6754385964912281,1.0,0.11919990949596213,0.1401081529164774,0.1537939394898498,0.8421133803112929,0.8157894736842105
