K,NDCG@10,NDCG@20,NDCG@50,RECALL@10,RECALL@20,RECALL@50,MAP@10,MAP@20,MAP@50,RMSE,Accuracy
10,0.18281581205650785,0.3077429498544194,0.3190318499828074,0.44047619047619047,0.9494047619047619,1.0,0.10767786281179138,0.1400401718216015,0.1424108170493896,0.7659797996440263,0.7113095238095238
20,0.19016856573073793,0.31312873404783315,0.32441763417622105,0.4494047619047619,0.9494047619047619,1.0,0.11431287792894936,0.14629122284162918,0.14866186806941728,0.7661203179094526,0.7113095238095238
50,0.19260360082276617,0.3147468989028682,0.3260357990312562,0.4523809523809524,0.9494047619047619,1.0,0.11656864134542706,0.14829519938777458,0.15066584461556265,0.7658112097196478,0.7083333333333334
100,0.19938561681834543,0.31894054789454657,0.3288946633549727,0.46726190476190477,0.9553571428571429,1.0,0.12104473733938019,0.15188174199258894,0.1539689405083589,0.7657045899402528,0.7142857142857143
