n_factors,NDCG@10,NDCG@20,NDCG@50,RECALL@10,RECALL@20,RECALL@50,MAP@10,MAP@20,MAP@50,RMSE,Accuracy,Train_Time
10,0.09541748829893726,0.12397209788393006,0.18641842751918164,0.19114219114219114,0.3041958041958042,0.6212121212121212,0.06640442890442891,0.07423069003924294,0.08406872839498805,0.7834271940040144,0.8554778554778555,0.03133797645568848
20,0.09271693173110636,0.1230791612433154,0.18459087089000584,0.17832167832167833,0.3006993006993007,0.6142191142191142,0.06687294187294188,0.07490139971074283,0.08450246119204236,0.7833396399215663,0.8554778554778555,0.04686427116394043
30,0.08107663888690606,0.11282771675643755,0.17284160627099004,0.1585081585081585,0.28438228438228436,0.5909090909090909,0.057701095201095204,0.06638385734666775,0.07568468980161291,0.7834810299195332,0.8554778554778555,0.08862185478210449
50,0.055383890324175684,0.08501602888656096,0.15573575662494202,0.11072261072261072,0.2296037296037296,0.5932400932400932,0.039151589151589145,0.04706862024526945,0.05783026104460109,0.7836302082577508,0.8554778554778555,0.07314205169677734
75,0.05009637369894215,0.07597252981485082,0.13559665511709823,0.11305361305361306,0.21794871794871795,0.5244755244755245,0.03134504384504384,0.038111800771606134,0.04720281450698337,0.7839528019333775,0.8554778554778555,0.09833312034606934
