K,NDCG@10,NDCG@20,NDCG@50,RECALL@10,RECALL@20,RECALL@50,MAP@10,MAP@20,MAP@50,RMSE,Accuracy
10,0.18275724652618683,0.2791079760672972,0.3246112335664163,0.4140127388535032,0.7961783439490446,1.0,0.1147179253867152,0.1410276554212288,0.15059558218660782,0.8737909883281818,0.8535031847133758
20,0.18275724652618683,0.2791079760672972,0.32461123356641636,0.4140127388535032,0.7961783439490446,1.0,0.1147179253867152,0.1410276554212288,0.1505955821866078,0.8737909883281818,0.8535031847133758
50,0.18275724652618683,0.2791079760672972,0.3246112335664163,0.4140127388535032,0.7961783439490446,1.0,0.1147179253867152,0.1410276554212288,0.1505955821866078,0.8737909883281818,0.8535031847133758
